Date,Open,High,Low,Close,Volume
1565740800,209.31,209.9,183.49,187.1,325228.98931
1565827200,187.08,189.95,181.23,188.03,237953.09425999998
1565913600,187.98,188.39,178.04,184.88,282177.01584
1566000000,184.83,187.0,181.83,185.59,138799.61508
1566086400,185.67,197.91,183.35,194.33,175363.5062
1566172800,194.32,203.59,192.7,202.28,239541.5978
1566259200,202.24,202.75,194.45,196.6,189297.75494
1566345600,196.55,197.2,179.53,187.45,284973.64194
1566432000,187.45,195.14,182.8,190.35,245575.98771999998
1566518400,190.36,196.19,188.16,194.02,192548.51552000002
1566604800,194.02,194.09,185.63,190.6,167806.34294
1566691200,190.6,192.4,182.8,186.54,169862.91522
1566777600,186.54,193.7,186.0,188.67,254397.79471999998
1566864000,188.61,189.49,184.75,187.24,157898.563
1566950400,187.3,188.25,166.48,173.03,334480.61761
1567036800,173.03,173.5,163.61,169.01,295241.216
1567123200,169.03,170.77,165.55,168.5,238616.68868000002
1567209600,168.48,174.98,165.63,171.57,194999.19582999998
1567296000,171.52,173.42,167.61,170.74,191140.52367999998
1567382400,170.73,181.0,170.02,178.05,294627.31247
1567468800,178.0,183.0,174.09,178.75,327857.85446999996
1567555200,178.79,180.14,173.0,174.72,286226.25171
1567641600,174.7,176.19,168.1,173.75,232753.83596
1567728000,173.74,177.87,165.0,169.08,315822.37984
1567814400,169.11,180.8,168.3,177.62,253831.23169000002
1567900800,177.58,184.18,176.13,181.19,290083.47501
1567987200,181.18,185.38,176.01,180.54,273729.94868000003
1568073600,180.52,184.36,177.0,179.81,238387.50999000002
1568160000,179.87,182.8,173.0,178.28,278555.46708000003
1568246400,178.3,182.38,176.62,180.72,203543.13663
1568332800,180.71,181.38,177.54,180.95,264422.54059
1568419200,180.96,188.79,179.75,188.13,279371.83423000004
1568505600,188.14,190.45,185.76,189.03,288928.60826999997
1568592000,189.05,199.44,188.3,197.22,551006.81686
1568678400,197.23,215.13,195.74,207.84,715863.2262
1568764800,207.85,217.27,207.66,210.21,539028.5101300001
1568851200,210.27,223.94,202.3,220.24,844358.82155
1568937600,220.26,221.54,212.05,218.03,437804.12668999995
1569024000,218.01,221.5,213.2,215.05,417891.5242
1569110400,215.04,215.61,206.1,211.2,445388.94787
1569196800,211.2,211.68,198.65,201.29,392437.07084
1569283200,201.25,202.98,150.03,165.81,1478218.82714
1569369600,165.72,174.85,161.88,169.96,879001.4621299999
1569456000,169.96,171.01,152.11,165.92,779942.17148
1569542400,165.92,176.72,161.03,173.79,634932.96707
1569628800,173.83,175.49,168.0,173.49,521775.46593
1569715200,173.5,174.5,164.12,169.24,410855.12176
1569801600,169.26,181.24,165.01,180.85,580295.3997
1569888000,180.89,185.53,173.19,175.66,609819.60828
1569974400,175.65,181.29,173.65,180.24,348268.1162
1570060800,180.24,180.72,169.55,174.69,354756.78478000005
1570147200,174.71,178.98,170.74,175.55,333897.63876
1570233600,175.55,176.71,172.02,176.25,278488.61770999996
1570320000,176.23,177.04,167.68,170.1,314932.39629
1570406400,170.08,182.32,168.68,179.85,496523.48038
1570492800,179.88,184.87,177.0,180.6,400832.37828
1570579200,180.61,195.53,178.96,192.62,562506.8218899999
1570665600,192.61,194.2,186.88,191.14,436588.58452
1570752000,191.18,196.65,179.41,180.72,621693.63125
1570838400,180.65,184.64,177.59,179.68,290415.22038
1570924800,179.65,184.95,178.52,180.99,247589.23231
1571011200,180.98,187.54,180.43,186.72,279732.84612
1571097600,186.7,188.37,175.96,180.49,405466.38109
1571184000,180.52,181.44,171.81,174.47,347764.93459
1571270400,174.52,178.96,172.61,177.16,298795.8198
1571356800,177.17,177.44,168.66,172.74,319602.48508
1571443200,172.78,174.98,169.44,171.79,296918.73026
1571529600,171.84,176.88,169.21,175.22,299141.07152
1571616000,175.18,177.9,171.59,173.98,270608.51385
1571702400,174.0,175.04,170.3,171.2,255429.41624000002
1571788800,171.19,171.49,153.45,162.35,746955.09806
1571875200,162.35,163.72,158.72,160.38,387310.83766
1571961600,160.39,187.78,160.25,181.5,904832.8605899999
1572048000,181.53,197.74,173.8,179.49,1211737.4368399999
1572134400,179.42,188.7,176.22,183.75,724423.40525
1572220800,183.84,189.48,180.35,181.72,582179.44545
1572307200,181.67,192.74,181.26,190.46,529964.5054
1572393600,190.45,191.71,179.28,183.13,537770.43056
1572480000,183.14,185.27,177.66,182.18,410969.86104
1572566400,182.19,184.5,177.02,182.85,331519.76963
1572652800,182.86,186.0,181.53,182.91,179864.39739
1572739200,182.9,184.7,178.95,181.54,232621.52146999998
1572825600,181.53,188.64,180.36,185.71,321175.29134
1572912000,185.71,192.51,182.22,188.68,389668.6472
1572998400,188.65,195.09,187.72,191.16,343219.9224
1573084800,191.16,192.27,184.59,186.68,309882.08206
1573171200,186.67,188.26,181.41,183.74,365029.75026999996
1573257600,183.71,185.79,182.63,184.89,192073.38044
1573344000,184.86,191.58,183.3,188.96,274940.53448000003
1573430400,188.96,190.19,184.06,184.98,255579.93429
1573516800,184.98,187.65,182.41,187.09,256782.63119000001
1573603200,187.09,189.66,185.3,188.11,197273.84000999999
1573689600,188.07,188.72,183.34,184.92,245505.29971
1573776000,184.93,186.7,177.67,180.0,407466.78964000003
1573862400,179.99,183.46,179.3,182.37,172801.52576
1573948800,182.37,186.09,180.0,183.82,198892.4372
1574035200,183.82,184.06,175.01,178.2,293551.23631999997
1574121600,178.2,178.52,172.65,175.94,275886.6411
1574208000,175.93,177.41,173.5,174.72,216315.93309
1574294400,174.75,175.85,157.26,161.01,473895.92991999997
1574380800,161.02,162.79,138.0,149.56,977977.2379399999
1574467200,149.55,154.33,146.11,151.84,369721.0996
1574553600,151.84,152.86,138.62,139.96,352319.21558
1574640000,139.99,151.5,131.45,145.69,749675.41303
1574726400,145.81,149.97,143.37,147.47,354023.04298
1574812800,147.47,155.54,140.84,152.62,564796.4284
1574899200,152.61,154.63,149.09,150.72,317714.56325999997
1574985600,150.69,157.6,150.23,154.57,328712.25558
1575072000,154.54,155.25,149.7,151.37,226863.41299
1575158400,151.43,152.49,145.79,150.73,344178.14088
1575244800,150.72,151.42,146.71,148.65,233839.0973
1575331200,148.66,149.93,145.77,147.17,196329.22503
1575417600,147.19,151.98,143.15,145.38,434430.62379
1575504000,145.45,149.02,143.64,148.1,299073.53972
1575590400,148.11,149.77,145.74,148.45,220674.68581
1575676800,148.46,149.49,146.85,147.14,140471.68588
1575763200,147.16,151.62,146.11,150.44,205301.6026
1575849600,150.44,151.19,146.56,147.38,243775.99249
1575936000,147.4,148.57,143.81,145.56,203215.84937
1576022400,145.53,146.34,142.12,143.39,157843.10484
1576108800,143.41,145.85,139.24,144.87,261615.30436999997
1576195200,144.87,146.0,142.8,144.8,160695.18555999998
1576281600,144.8,145.07,141.18,141.79,126232.59201
1576368000,141.79,144.12,139.92,142.46,151189.65877
1576454400,142.46,142.72,127.93,132.73,471018.85942
1576540800,132.72,132.98,119.11,121.88,563257.3600100001
1576627200,121.88,134.87,116.26,132.78,884960.91334
1576713600,132.8,134.0,125.69,128.1,420674.8172
1576800000,128.1,129.39,125.84,128.19,213897.4673
1576886400,128.19,128.4,126.5,126.99,135196.11641
1576972800,127.0,133.07,126.82,132.09,253140.72413000002
1577059200,132.12,135.1,126.0,127.8,421600.75655
1577145600,127.8,129.69,126.61,127.75,200637.10098
1577232000,127.7,127.84,123.07,125.09,225004.4909
1577318400,125.09,132.26,124.32,125.58,274986.52096999995
1577404800,125.58,127.1,121.91,126.29,240012.37451
1577491200,126.28,129.68,125.84,128.11,196893.52277
1577577600,128.11,138.07,127.52,134.36,316347.26665999996
1577664000,134.36,136.24,130.3,131.59,320347.21956
1577750400,131.61,133.68,128.17,129.16,264933.98418
1577836800,129.16,133.05,128.68,130.77,144770.52197
1577923200,130.72,130.78,126.38,127.19,213757.05805999998
1578009600,127.19,135.14,125.88,134.35,413055.18895
1578096000,134.37,135.85,132.5,134.2,184276.17102
1578182400,134.2,138.19,134.19,135.37,254120.45343000002
1578268800,135.37,144.41,134.86,144.15,408020.27375
1578355200,144.14,145.31,138.76,142.8,447762.17281
1578441600,142.8,147.77,137.03,140.72,570465.5776399999
1578528000,140.76,141.5,135.3,137.74,366076.06569
1578614400,137.73,145.17,135.32,144.84,409403.59507
1578700800,144.83,148.05,142.09,142.38,368350.57939
1578787200,142.4,146.6,141.76,146.54,229541.86136999997
1578873600,146.56,147.0,142.27,143.58,207996.61865
1578960000,143.58,171.7,143.51,165.64,1108476.31186
1579046400,165.6,171.98,159.2,166.4,721687.8038100001
1579132800,166.4,167.4,157.8,164.21,456170.86718999996
1579219200,164.24,174.81,162.14,169.85,767180.67853
1579305600,169.92,179.5,164.92,174.14,688783.17982
1579392000,174.1,178.05,161.66,166.79,624681.2860399999
1579478400,166.79,169.33,161.24,166.87,358092.8841
1579564800,166.86,170.32,164.8,169.49,308007.6353
1579651200,169.48,171.47,166.03,168.07,272240.90286
1579737600,168.07,168.2,159.21,162.81,373414.34985
